lat,lon,value
57.044,9.529,0
57.044,9.531,0
57.044,9.532,0
57.044,9.534,0
57.044,9.536,0
57.044,9.537,0
57.044,9.539,0
57.044,9.541,0
57.044,9.542,0
57.044,9.544,0
57.044,9.546,0
57.044,9.547,0
57.044,9.549,0
57.044,9.551,0
57.044,9.552,0
57.044,9.554,0
57.044,9.556,0
57.044,9.557,0
57.044,9.559,0
57.044,9.56,0
57.044,9.562,0
57.044,9.564,0
57.044,9.565,0
57.044,9.567,0
57.044,9.569,0
57.044,9.57,0
57.044,9.572,0
57.044,9.574,0
57.044,9.575,0
57.044,9.577,0
57.044,9.579,0
57.044,9.58,0
57.044,9.582,4
57.044,9.584,0
57.044,9.585,0
57.044,9.587,0
57.044,9.588,0
57.044,9.59,0
57.044,9.592,0
57.044,9.593,0
57.044,9.595,0
57.044,9.597,0
57.044,9.598,0
57.044,9.6,0
57.044,9.602,0
57.044,9.603,4
57.044,9.605,0
57.044,9.607,4
57.044,9.608,4
57.044,9.61,4
57.044,9.612,8
57.044,9.613,8
57.044,9.615,8
57.044,9.617,4
57.044,9.618,4
57.044,9.62,4
57.044,9.621,4
57.044,9.623,4
57.044,9.625,4
57.044,9.626,4
57.044,9.628,4
57.044,9.63,4
57.044,9.631,4
57.044,9.633,4
57.044,9.635,4
57.044,9.636,4
57.044,9.638,4
57.044,9.64,4
57.044,9.641,4
57.044,9.643,4
57.044,9.645,4
57.044,9.646,4
57.044,9.648,4
57.044,9.649,4
57.044,9.651,4
57.044,9.653,0
57.044,9.654,0
57.044,9.656,0
57.044,9.658,0
57.044,9.659,0
57.044,9.661,0
57.044,9.663,0
57.044,9.664,0
57.044,9.666,0
57.044,9.668,0
57.044,9.669,0
57.044,9.671,0
57.044,9.673,0
57.044,9.674,0
57.044,9.676,0
57.044,9.677,0
57.044,9.679,0
57.044,9.681,0
57.044,9.682,4
57.044,9.684,4
57.044,9.686,4
57.043,9.687,0
57.043,9.689,4
57.043,9.691,4
57.043,9.692,4
57.043,9.694,4
57.043,9.696,4
57.043,9.697,4
57.043,9.699,4
57.043,9.701,8
57.043,9.702,8
57.043,9.704,8
57.043,9.705,8
57.043,9.707,8
57.043,9.709,8
57.043,9.71,8
57.043,9.712,12
57.043,9.714,8
57.043,9.715,12
57.043,9.717,12
57.043,9.719,12
57.043,9.72,25
57.043,9.722,25
57.043,9.724,16
57.043,9.725,4
57.043,9.727,12
57.043,9.729,12
57.043,9.73,12
57.043,9.732,12
57.043,9.734,25
57.043,9.735,20
57.043,9.737,25
57.043,9.738,20
57.043,9.74,16
57.043,9.742,8
57.043,9.743,8
57.043,9.745,8
57.043,9.747,8
57.043,9.748,8
57.043,9.75,8
57.043,9.752,8
57.043,9.753,4
57.043,9.755,4
57.043,9.757,4
57.043,9.758,4
57.043,9.76,4
57.043,9.762,8
57.043,9.763,8
57.043,9.765,16
57.043,9.766,16
57.043,9.768,25
57.043,9.77,20
57.043,9.771,16
57.043,9.773,4
57.043,9.775,12
57.043,9.776,8
57.043,9.778,8
57.043,9.78,4
57.043,9.781,8
57.043,9.783,8
57.043,9.785,4
57.043,9.786,8
57.043,9.788,12
57.043,9.79,12
57.043,9.791,8
57.043,9.793,16
57.043,9.794,16
57.043,9.796,12
57.043,9.798,8
57.043,9.799,8
57.043,9.801,4
57.043,9.803,8
57.043,9.804,8
57.043,9.806,0
57.043,9.808,4
57.043,9.809,4
57.043,9.811,0
57.043,9.813,0
57.043,9.814,0
57.043,9.816,0
57.043,9.818,0
57.043,9.819,0
57.043,9.821,0
57.043,9.822,0
57.043,9.824,0
57.043,9.826,0
57.043,9.827,0
57.043,9.829,0
57.043,9.831,0
57.043,9.832,0
57.043,9.834,0
57.043,9.836,0
57.043,9.837,0
57.043,9.839,20
57.043,9.841,16
57.043,9.842,29
57.043,9.844,25
57.043,9.846,20
57.043,9.847,16
57.043,9.849,20
57.042,9.851,16
57.042,9.852,20
57.042,9.854,8
57.042,9.855,12
57.042,9.857,12
57.042,9.859,12
57.042,9.86,12
57.042,9.862,8
57.042,9.864,8
57.042,9.865,8
57.042,9.867,4
57.042,9.869,4
57.042,9.87,8
57.042,9.872,8
57.042,9.874,8
57.042,9.875,8
57.042,9.877,8
57.042,9.879,8
57.042,9.88,8
57.042,9.882,12
57.042,9.883,12
57.042,9.885,12
57.042,9.887,12
57.042,9.888,12
57.042,9.89,12
57.042,9.892,12
57.042,9.893,12
57.042,9.895,12
57.042,9.897,8
57.042,9.898,4
57.042,9.9,4
57.042,9.902,8
57.042,9.903,8
57.042,9.905,8
57.042,9.907,8
57.042,9.908,8
57.042,9.91,4
57.042,9.911,4
57.042,9.913,4
57.042,9.915,12
57.042,9.916,12
57.042,9.918,8
57.042,9.92,16
57.042,9.921,16
57.042,9.923,16
57.042,9.925,16
57.042,9.926,16
57.042,9.928,8
57.042,9.93,8
57.042,9.931,12
57.042,9.933,12
57.042,9.935,8
57.042,9.936,8
57.042,9.938,8
57.042,9.939,8
57.042,9.941,8
57.042,9.943,12
57.042,9.944,12
57.042,9.946,20
57.042,9.948,20
57.042,9.949,16
57.042,9.951,20
57.042,9.953,25
57.042,9.954,12
57.042,9.956,20
57.042,9.958,33
57.042,9.959,33
57.042,9.961,41
57.042,9.963,60
57.042,9.964,64
57.042,9.966,52
57.042,9.967,64
57.042,9.969,56
57.042,9.971,93
57.042,9.972,116
57.042,9.974,229
57.042,9.976,185
57.042,9.977,185
57.042,9.979,229
57.042,9.981,212
57.042,9.982,241
57.042,9.984,172
57.042,9.986,141
57.041,9.987,164
57.041,9.989,229
57.041,9.991,21
57.041,9.992,241
57.041,9.994,4
57.041,9.996,241
57.041,9.997,172
57.041,9.999,212
57.041,10.0,4
57.041,10.002,198
57.041,10.004,185
